Manga Series,Author's,Publisher,Demographic,No of Total Volumes,Serialization,Sales (Dollars)
Rookies,Masanori Morita,Shueisha,Shōnen,24,1998–2003,21 million
Tsubasa: Reservoir Chronicle,Clamp,Kodansha,Shōnen,28,2003–2009,21 million
Ushijima the Loan Shark,Shohei Manabe,Shogakukan,Seinen,46,2004–2019,21 million
Dragon Quest Retsuden: Roto no Monshō,"Chiaki Kawamata, Junji Koyanagi, Kamui Fujiwara",Enix,Shōnen,21,1991–1997,20.9 million
Shōnen Shōjo Nippon no Rekishi [ja],"Kōta Kodama, Arakawa Shoji",Shogakukan,Children,24,1981–2018,20.2 million
750 Rider,Isami Ishii,Akita Shoten,Shōnen,50,1975–1985,20 million
Buddha,Osamu Tezuka,Ushio Shuppan,Seinen,14,1972–1983,20 million
Cat's Eye,Tsukasa Hojo,Shueisha,Shōnen,18,1981–1984,20 million
Cuffs - Kizu Darake no Chizu [ja],Jin Tojo,Shueisha,Seinen,32,1997–2005,20 million
Fire Force,Atsushi Ohkubo,Kodansha,Shōnen,34,2015–2022,20 million
Food Wars!: Shokugeki no Soma,"Yūto Tsukuda, Shun Saeki",Shueisha,Shōnen,36,2012–2019,20 million
Fushigi Yûgi,Yuu Watase,Shogakukan,Shōjo,18,1991–1996,20 million
Giant Killing,"Masaya Tsunamoto, Tsujitomo",Kodansha,Seinen,61,2007–present,20 million
Haruhi Suzumiya,"Makoto Mizuno, Gaku Tsugano, Puyo, Eretto",Kadokawa Shoten,Shōnen,57,2004–2018,20 million
Keiji,"Keiichiro Ryu, Tetsuo Hara",Shueisha,Shōnen,18,1990–1993,20 million
Kimagure Orange Road,Izumi Matsumoto,Shueisha,Shōnen,18,1984–1987,20 million
Love Hina,Ken Akamatsu,Kodansha,Shōnen,14,1998–2001,20 million
Master Keaton,"Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",Shogakukan,Seinen,18,1988–1994,20 million
Mazinger Z,Go Nagai,ShueishaKodansha,Shōnen,5,1972–1974,20 million
Monster,Naoki Urasawa,Shogakukan,Seinen,18,1994–2001,20 million
Negima! Magister Negi Magi,Ken Akamatsu,Kodansha,Shōnen,38,2003–2012,20 million
Oshi no Ko,"Aka Akasaka, Mengo Yokoyari",Shueisha,Seinen,16,2020–2024,20 million
Peacock King,Makoto Ogino,ShueishaShogakukanLeed,Seinen,55,1985–2019,20 million
The Quintessential Quintuplets,Negi Haruba,Kodansha,Shōnen,14,2017–2020,20 million
Red River,Chie Shinohara,Shogakukan,Shōjo,28,1995–2002,20 million
Shōnen Ashibe,Hiromi Morishita,Shueisha,Seinen,8,1988–1994,20 million
Sukeban Deka,Shinji Wada,Hakusensha,Shōjo,22,1976–1982,20 million
Swan,Kyoko Ariyoshi,Shueisha,Shōjo,21,1976–1981,20 million
Tasogare Ryūseigun [ja],Kenshi Hirokane,Shogakukan,Seinen,64,1995–present,20 million
Tokyo Daigaku Monogatari,Tatsuya Egawa,Shogakukan,Seinen,34,1992–2001,20 million
Weed,Yoshihiro Takahashi,Nihon Bungeisha,Seinen,60,1999–2009,20 million
